question,type,qno
Is the child very easily distracted?,a,1
Does the child often make careless mistake and not follow instructions?,a,2
Does the child daydream often?,a,3
Does the child have trouble playing quietly?,a,4
Does the child seem very fidgety?,a,5
Does the child lose things often?,a,6
Does the child often interrupt others/ blurt out answers?,a,7
Was the child premature?,b,8
Did the mother smoke/drink during pregnancy?,b,9
Does anyone in the immediate family have ADHD/ADD?,b,10
